Player,S/C,Pos,GP,G,A,P,+/-,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP
Markus Niemelainen,L,D,43.0,0.0,1.0,1.0,-2.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,11.5
Martin Fehervary,L,D,212.0,17.0,32.0,49.0,-3.0,0.23,16.0,46.0,0.0,0.0,1.0,3.0,0.0,3.0,248.0,6.9,19.75
Martin Kaut,R,R,42.0,4.0,4.0,8.0,-2.0,0.19,3.0,7.0,1.0,1.0,0.0,0.0,0.0,1.0,45.0,8.9,10.166666666666666
Martin Necas,R,C,237.0,66.0,98.0,164.0,1.0,0.69,46.0,119.0,19.0,43.0,1.0,2.0,7.0,14.0,630.0,10.5,17.333333333333332
Martin Pospisil,L,C,63.0,8.0,16.0,24.0,14.0,0.38,8.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,117.0,6.8,12.716666666666667
Mason Appleton,R,C,191.0,27.0,46.0,73.0,17.0,0.38,23.0,68.0,3.0,3.0,1.0,2.0,0.0,5.0,291.0,9.3,15.633333333333333
Mason Geertsen,L,L,25.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,6.95
Mason Lohrei,L,D,41.0,4.0,9.0,13.0,-2.0,0.32,3.0,10.0,1.0,3.0,0.0,0.0,0.0,1.0,43.0,9.3,16.95
Mason Marchment,L,L,203.0,52.0,79.0,131.0,45.0,0.65,43.0,113.0,9.0,18.0,0.0,0.0,0.0,7.0,419.0,12.4,15.033333333333333
Mason McTavish,L,C,153.0,38.0,50.0,88.0,-39.0,0.58,26.0,63.0,11.0,23.0,1.0,2.0,1.0,5.0,303.0,12.5,15.616666666666667
Mason Shaw,L,C,82.0,8.0,12.0,20.0,-3.0,0.24,8.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,120.0,6.7,10.45
Mathew Barzal,R,C,211.0,52.0,138.0,190.0,-14.0,0.9,42.0,126.0,10.0,64.0,0.0,0.0,3.0,10.0,540.0,9.6,19.016666666666666
Mathew Dumba,R,D,212.0,15.0,38.0,53.0,-17.0,0.25,14.0,48.0,1.0,5.0,0.0,0.0,0.0,3.0,301.0,5.0,21.216666666666665
Mathieu Joseph,L,R,197.0,26.0,57.0,83.0,13.0,0.42,20.0,71.0,1.0,3.0,5.0,9.0,1.0,6.0,276.0,9.4,14.983333333333333
Mathieu Olivier,R,R,130.0,10.0,18.0,28.0,-27.0,0.22,9.0,27.0,0.0,0.0,1.0,1.0,0.0,2.0,135.0,7.4,11.366666666666667
