Player,S/C,Pos,GP,G,A,P,+/-,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP
Artemi Panarin,R,L,239.0,100.0,208.0,308.0,43.0,1.29,75.0,190.0,25.0,117.0,0.0,1.0,3.0,14.0,684.0,14.6,19.666666666666668
Arthur Kaliyev,L,R,187.0,34.0,36.0,70.0,-11.0,0.37,17.0,45.0,17.0,25.0,0.0,0.0,0.0,3.0,417.0,8.2,12.133333333333333
Arttu Ruotsalainen,L,C,18.0,2.0,2.0,4.0,-1.0,0.22,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,8.7,11.883333333333333
Artturi Lehkonen,L,L,183.0,56.0,67.0,123.0,20.0,0.67,36.0,85.0,17.0,35.0,3.0,3.0,2.0,7.0,408.0,13.7,17.8
Austin Czarnik,R,C,80.0,5.0,8.0,13.0,-2.0,0.16,5.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,65.0,7.7,9.95
Austin Poganski,R,R,16.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.316666666666666
Austin Watson,R,L,175.0,21.0,10.0,31.0,-8.0,0.18,17.0,27.0,0.0,0.0,4.0,4.0,0.0,3.0,184.0,11.4,10.35
Auston Matthews,L,C,228.0,169.0,129.0,298.0,82.0,1.31,122.0,211.0,47.0,86.0,0.0,1.0,5.0,26.0,,16.2,20.633333333333333
Axel Jonsson-Fjallby,L,L,99.0,10.0,13.0,23.0,5.0,0.23,10.0,22.0,0.0,0.0,0.0,1.0,0.0,3.0,106.0,9.4,10.016666666666667
Barclay Goodrow,L,C,241.0,28.0,48.0,76.0,3.0,0.32,25.0,68.0,1.0,2.0,2.0,6.0,0.0,5.0,266.0,10.5,14.466666666666667
Barrett Hayton,L,C,175.0,32.0,45.0,77.0,-26.0,0.44,25.0,59.0,7.0,17.0,0.0,1.0,2.0,5.0,326.0,9.8,16.933333333333334
Beck Malenstyn,L,L,102.0,8.0,16.0,24.0,1.0,0.24,8.0,23.0,0.0,0.0,0.0,1.0,0.0,2.0,115.0,7.0,13.25
Ben Chiarot,L,D,227.0,19.0,46.0,65.0,-49.0,0.29,17.0,61.0,2.0,3.0,0.0,1.0,2.0,2.0,360.0,5.3,21.05
Ben Harpur,L,D,61.0,1.0,6.0,7.0,-10.0,0.11,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,2.1,13.966666666666667
Ben Hutton,L,D,130.0,8.0,23.0,31.0,20.0,0.24,8.0,29.0,0.0,2.0,0.0,0.0,0.0,0.0,197.0,4.1,15.833333333333334
Ben Meyers,L,C,67.0,6.0,2.0,8.0,-12.0,0.12,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,11.3,9.8
Blake Coleman,L,C,241.0,64.0,61.0,125.0,44.0,0.52,54.0,112.0,3.0,3.0,7.0,10.0,0.0,11.0,591.0,10.8,15.7
Blake Lizotte,L,C,213.0,28.0,45.0,73.0,37.0,0.34,25.0,65.0,0.0,0.0,3.0,8.0,0.0,5.0,275.0,10.2,12.366666666666667
Blake Wheeler,R,R,191.0,42.0,94.0,136.0,-16.0,0.71,31.0,100.0,11.0,36.0,0.0,0.0,1.0,9.0,376.0,11.2,16.666666666666668
Bo Groulx,L,C,65.0,1.0,4.0,5.0,-9.0,0.08,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,2.0,11.983333333333333
Bo Horvat,L,C,230.0,102.0,88.0,190.0,1.0,0.83,61.0,123.0,35.0,59.0,6.0,8.0,4.0,15.0,671.0,15.2,19.966666666666665
Bobby Brink,R,R,67.0,11.0,16.0,27.0,-4.0,0.4,8.0,21.0,3.0,6.0,0.0,0.0,0.0,2.0,99.0,11.1,14.033333333333333
Bobby McMann,L,C,66.0,15.0,10.0,25.0,11.0,0.38,14.0,24.0,1.0,1.0,0.0,0.0,0.0,0.0,136.0,11.0,11.416666666666666
Boone Jenner,L,C,185.0,71.0,53.0,124.0,-51.0,0.67,50.0,94.0,20.0,29.0,1.0,1.0,1.0,7.0,529.0,13.4,20.25
Boris Katchouk,L,L,176.0,15.0,21.0,36.0,-23.0,0.2,14.0,34.0,0.0,0.0,1.0,2.0,0.0,3.0,196.0,7.7,11.15
Bowen Byram,L,D,145.0,26.0,44.0,70.0,14.0,0.48,22.0,61.0,3.0,8.0,1.0,1.0,0.0,3.0,198.0,13.1,20.466666666666665
Brad Hunt,L,D,97.0,7.0,20.0,27.0,1.0,0.28,7.0,25.0,0.0,2.0,0.0,0.0,0.0,0.0,113.0,6.2,13.3
Brad Malone,L,C,18.0,1.0,1.0,2.0,-6.0,0.11,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.1,7.95
Brad Marchand,L,L,225.0,82.0,132.0,214.0,45.0,0.95,54.0,125.0,23.0,82.0,5.0,7.0,3.0,16.0,632.0,13.0,18.966666666666665
Brad Richardson,L,R,44.0,4.0,4.0,8.0,-1.0,0.18,4.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,12.9,10.3
Braden Schneider,R,D,206.0,12.0,36.0,48.0,13.0,0.23,11.0,46.0,0.0,1.0,1.0,1.0,0.0,2.0,199.0,6.0,15.733333333333333
Brady Skjei,L,D,243.0,40.0,84.0,124.0,44.0,0.51,33.0,100.0,5.0,19.0,2.0,5.0,0.0,5.0,557.0,7.2,21.416666666666668
Brady Tkachuk,L,L,242.0,102.0,122.0,224.0,-16.0,0.93,70.0,156.0,32.0,68.0,0.0,0.0,4.0,11.0,992.0,10.3,18.85
Brandon Carlo,R,D,230.0,13.0,32.0,45.0,69.0,0.2,12.0,41.0,0.0,1.0,1.0,3.0,0.0,1.0,298.0,4.4,19.483333333333334
Brandon Duhaime,L,R,211.0,20.0,20.0,40.0,-1.0,0.19,18.0,38.0,0.0,0.0,2.0,2.0,0.0,4.0,263.0,7.6,10.583333333333334
Brandon Hagel,L,L,240.0,81.0,102.0,183.0,6.0,0.76,66.0,149.0,13.0,26.0,2.0,8.0,1.0,9.0,487.0,16.6,18.116666666666667
Brandon Montour,R,D,227.0,35.0,108.0,143.0,25.0,0.63,30.0,85.0,5.0,58.0,0.0,0.0,3.0,9.0,563.0,6.2,21.7
Brandon Saad,L,L,231.0,69.0,59.0,128.0,-1.0,0.55,51.0,100.0,15.0,22.0,3.0,6.0,2.0,9.0,429.0,16.1,16.116666666666667
Brandon Tanev,L,L,178.0,32.0,34.0,66.0,27.0,0.37,28.0,60.0,2.0,2.0,2.0,4.0,0.0,6.0,239.0,13.4,14.416666666666666
Brandt Clarke,R,D,25.0,2.0,6.0,8.0,-7.0,0.32,2.0,4.0,0.0,4.0,0.0,0.0,1.0,1.0,42.0,4.8,13.65
Brayden McNabb,L,D,233.0,8.0,53.0,61.0,45.0,0.26,8.0,56.0,0.0,1.0,0.0,4.0,0.0,0.0,260.0,3.1,19.633333333333333
Brayden Pachal,R,D,62.0,2.0,7.0,9.0,-3.0,0.15,2.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,71.0,2.8,14.833333333333334
Brayden Point,R,C,229.0,125.0,118.0,243.0,-19.0,1.06,80.0,159.0,45.0,84.0,0.0,0.0,3.0,25.0,638.0,19.6,19.733333333333334
Brayden Schenn,L,C,226.0,65.0,104.0,169.0,-28.0,0.75,47.0,124.0,17.0,44.0,1.0,1.0,4.0,9.0,425.0,15.3,18.016666666666666
Brendan Gallagher,R,R,170.0,31.0,38.0,69.0,-36.0,0.41,25.0,56.0,6.0,13.0,0.0,0.0,0.0,4.0,389.0,8.0,14.3
Brendan Gaunce,L,C,59.0,7.0,5.0,12.0,-6.0,0.2,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,9.1,9.783333333333333
Brendan Lemieux,L,L,127.0,13.0,14.0,27.0,-2.0,0.21,13.0,27.0,0.0,0.0,0.0,0.0,0.0,3.0,138.0,9.4,9.85
Brendan Perlini,L,L,23.0,4.0,1.0,5.0,-2.0,0.22,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,16.7,8.366666666666667
Brendan Smith,L,D,168.0,9.0,19.0,28.0,6.0,0.17,9.0,27.0,0.0,0.0,0.0,1.0,0.0,1.0,181.0,5.0,15.316666666666666
Brenden Dillon,L,D,238.0,13.0,50.0,63.0,38.0,0.26,13.0,62.0,0.0,0.0,0.0,1.0,0.0,2.0,247.0,5.3,19.066666666666666
Brent Burns,R,D,246.0,38.0,120.0,158.0,23.0,0.64,25.0,95.0,12.0,61.0,1.0,2.0,1.0,2.0,643.0,5.9,23.616666666666667
Brett Howden,L,C,173.0,23.0,29.0,52.0,3.0,0.3,21.0,48.0,0.0,0.0,2.0,4.0,0.0,2.0,168.0,13.7,12.483333333333333
Brett Kulak,L,D,238.0,11.0,46.0,57.0,7.0,0.24,11.0,52.0,0.0,1.0,0.0,4.0,0.0,1.0,300.0,3.7,16.85
Brett Leason,R,R,158.0,20.0,17.0,37.0,-27.0,0.23,18.0,35.0,0.0,0.0,2.0,2.0,0.0,1.0,187.0,10.7,11.366666666666667
Brett Murray,L,L,21.0,2.0,4.0,6.0,-4.0,0.29,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,13.3,12.5
Brett Pesce,R,D,222.0,15.0,56.0,71.0,26.0,0.32,13.0,62.0,2.0,7.0,0.0,2.0,3.0,6.0,399.0,3.8,21.366666666666667
Brett Ritchie,R,R,91.0,11.0,6.0,17.0,-6.0,0.19,11.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,123.0,8.9,9.9
Brian Boyle,L,C,66.0,11.0,10.0,21.0,6.0,0.32,10.0,20.0,0.0,0.0,1.0,1.0,0.0,1.0,87.0,12.6,10.783333333333333
Brian Dumoulin,L,D,238.0,10.0,49.0,59.0,23.0,0.25,10.0,57.0,0.0,0.0,0.0,2.0,0.0,1.0,242.0,4.1,19.8
Brock Boeser,R,R,226.0,81.0,93.0,174.0,-2.0,0.77,48.0,115.0,33.0,58.0,0.0,1.0,2.0,13.0,577.0,14.0,18.15
Brock Faber,R,D,84.0,8.0,39.0,47.0,1.0,0.56,5.0,31.0,3.0,16.0,0.0,0.0,0.0,1.0,137.0,5.8,24.85
Brock McGinn,L,L,163.0,25.0,19.0,44.0,-11.0,0.27,23.0,42.0,0.0,0.0,2.0,2.0,0.0,5.0,214.0,11.7,13.516666666666667
Brock Nelson,L,C,236.0,107.0,96.0,203.0,3.0,0.86,80.0,151.0,26.0,50.0,1.0,2.0,2.0,15.0,643.0,16.6,18.083333333333332
Bryan Rust,R,R,203.0,72.0,88.0,160.0,13.0,0.79,57.0,117.0,14.0,41.0,1.0,2.0,2.0,6.0,587.0,12.3,18.666666666666668
Buddy Robinson,R,R,41.0,2.0,7.0,9.0,3.0,0.22,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,3.9,9.8
Byron Froese,R,C,25.0,1.0,2.0,3.0,-2.0,0.12,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3.1,10.416666666666666
Cal Clutterbuck,R,R,190.0,19.0,27.0,46.0,7.0,0.24,18.0,45.0,0.0,0.0,1.0,1.0,0.0,2.0,177.0,10.7,12.633333333333333
Cal Foote,R,D,110.0,4.0,13.0,17.0,15.0,0.15,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,4.6,14.1
Cale Fleury,R,D,22.0,0.0,1.0,1.0,-2.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,13.833333333333334
Cale Makar,R,D,214.0,66.0,176.0,242.0,79.0,1.13,44.0,135.0,21.0,103.0,1.0,4.0,5.0,13.0,647.0,10.2,25.55
Caleb Jones,L,D,149.0,9.0,27.0,36.0,-18.0,0.24,8.0,31.0,1.0,5.0,0.0,0.0,2.0,2.0,162.0,5.6,17.183333333333334
Calen Addison,R,D,149.0,6.0,44.0,50.0,-59.0,0.34,6.0,23.0,0.0,27.0,0.0,0.0,0.0,1.0,187.0,3.2,16.433333333333334
Calle Jarnkrok,R,C,191.0,42.0,48.0,90.0,11.0,0.47,35.0,73.0,5.0,12.0,2.0,5.0,1.0,6.0,299.0,14.1,15.2
Calle Rosen,L,D,73.0,10.0,16.0,26.0,16.0,0.36,10.0,26.0,0.0,0.0,0.0,0.0,0.0,2.0,85.0,11.8,15.05
Calvin de Haan,L,D,181.0,9.0,21.0,30.0,-23.0,0.17,9.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,4.2,16.616666666666667
Cam Dineen,L,D,34.0,0.0,7.0,7.0,-16.0,0.21,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,15.633333333333333
Cam Fowler,L,D,239.0,24.0,105.0,129.0,-68.0,0.54,12.0,78.0,12.0,50.0,0.0,1.0,0.0,2.0,363.0,6.6,24.333333333333332
Cam York,L,D,166.0,15.0,45.0,60.0,-28.0,0.36,14.0,44.0,1.0,13.0,0.0,3.0,0.0,1.0,209.0,7.2,21.016666666666666
Cameron Atkinson,R,R,143.0,36.0,42.0,78.0,-24.0,0.55,29.0,64.0,4.0,11.0,3.0,3.0,1.0,9.0,390.0,9.2,17.116666666666667
Carl Grundstrom,L,R,161.0,29.0,17.0,46.0,-2.0,0.29,26.0,43.0,2.0,2.0,1.0,1.0,0.0,4.0,268.0,10.8,10.85
Carl Hagelin,L,L,53.0,3.0,11.0,14.0,10.0,0.26,3.0,13.0,0.0,0.0,0.0,1.0,0.0,1.0,71.0,4.2,14.233333333333333
Carson Meyer,R,R,41.0,2.0,4.0,6.0,-4.0,0.15,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,5.0,9.05
Carson Soucy,L,D,182.0,15.0,28.0,43.0,35.0,0.24,13.0,36.0,1.0,4.0,1.0,3.0,0.0,1.0,213.0,7.0,17.033333333333335
Carter Rowney,R,C,26.0,4.0,2.0,6.0,-4.0,0.23,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,26.7,10.666666666666666
Carter Verhaeghe,L,C,235.0,100.0,100.0,200.0,51.0,0.85,85.0,163.0,15.0,37.0,0.0,0.0,3.0,13.0,688.0,14.5,17.166666666666668
Casey Cizikas,L,C,225.0,26.0,34.0,60.0,-5.0,0.27,24.0,55.0,0.0,1.0,2.0,4.0,0.0,4.0,284.0,9.2,14.083333333333334
Casey Fitzgerald,R,D,63.0,0.0,9.0,9.0,-21.0,0.14,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,14.75
Casey Mittelstadt,L,C,202.0,39.0,96.0,135.0,-12.0,0.67,30.0,102.0,8.0,32.0,1.0,1.0,2.0,4.0,341.0,11.4,16.6
Cedric Paquette,L,C,24.0,0.0,2.0,2.0,-6.0,0.08,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,8.866666666666667
Chad Ruhwedel,R,D,177.0,6.0,16.0,22.0,-8.0,0.12,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,3.9,14.35
Chandler Stephenson,L,C,235.0,53.0,127.0,180.0,8.0,0.77,33.0,130.0,16.0,42.0,4.0,8.0,0.0,12.0,342.0,15.5,18.95
Charlie Coyle,R,C,246.0,57.0,92.0,149.0,21.0,0.61,45.0,118.0,10.0,20.0,2.0,11.0,2.0,10.0,417.0,13.7,17.483333333333334
Charlie McAvoy,R,D,219.0,29.0,126.0,155.0,64.0,0.71,21.0,101.0,7.0,53.0,1.0,1.0,4.0,10.0,404.0,7.2,24.0
Chris Kreider,L,L,242.0,127.0,79.0,206.0,59.0,0.85,66.0,113.0,52.0,81.0,9.0,12.0,2.0,21.0,733.0,17.3,18.65
Chris Tanev,R,D,222.0,9.0,51.0,60.0,64.0,0.27,9.0,59.0,0.0,1.0,0.0,0.0,0.0,4.0,219.0,4.1,20.1
Chris Tierney,L,C,158.0,13.0,27.0,40.0,-17.0,0.25,10.0,34.0,3.0,5.0,0.0,1.0,0.0,2.0,117.0,11.1,10.95
Chris Wideman,R,D,110.0,4.0,29.0,33.0,-31.0,0.3,4.0,19.0,0.0,14.0,0.0,0.0,0.0,1.0,107.0,3.7,14.3
Christian Dvorak,L,C,150.0,26.0,44.0,70.0,-36.0,0.47,23.0,60.0,2.0,9.0,1.0,1.0,0.0,2.0,210.0,12.4,16.783333333333335
Christian Fischer,R,R,212.0,23.0,33.0,56.0,-22.0,0.26,20.0,52.0,1.0,2.0,2.0,2.0,0.0,0.0,284.0,8.1,13.133333333333333
Christian Wolanin,L,D,25.0,1.0,4.0,5.0,4.0,0.2,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,4.8,15.366666666666667
Claude Giroux,R,R,239.0,77.0,131.0,208.0,-15.0,0.87,60.0,138.0,15.0,66.0,2.0,4.0,2.0,8.0,602.0,12.8,19.333333333333332
Clayton Keller,L,R,227.0,98.0,127.0,225.0,-19.0,0.99,76.0,161.0,20.0,61.0,2.0,3.0,4.0,10.0,628.0,15.6,20.05
Cody Ceci,R,D,237.0,11.0,57.0,68.0,31.0,0.29,11.0,64.0,0.0,0.0,0.0,4.0,0.0,0.0,287.0,3.8,20.35
Cody Eakin,L,C,69.0,4.0,8.0,12.0,-15.0,0.17,3.0,9.0,1.0,2.0,0.0,1.0,0.0,1.0,74.0,5.4,13.583333333333334
Cody Glass,R,C,121.0,20.0,29.0,49.0,0.0,0.4,14.0,39.0,6.0,10.0,0.0,0.0,1.0,3.0,222.0,9.0,14.1
Cole Caufield,R,R,195.0,77.0,67.0,144.0,-38.0,0.74,56.0,100.0,21.0,44.0,0.0,0.0,5.0,13.0,660.0,11.7,18.15
Cole Guttman,R,C,41.0,8.0,6.0,14.0,-16.0,0.34,6.0,11.0,2.0,3.0,0.0,0.0,0.0,1.0,76.0,10.5,13.283333333333333
Cole Koepke,L,L,26.0,1.0,2.0,3.0,-5.0,0.12,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4.8,8.266666666666667
Cole Perfetti,L,C,140.0,29.0,46.0,75.0,24.0,0.54,23.0,58.0,6.0,17.0,0.0,0.0,0.0,4.0,253.0,11.5,14.166666666666666
Cole Sillinger,L,C,220.0,32.0,42.0,74.0,-49.0,0.34,29.0,67.0,3.0,6.0,0.0,1.0,0.0,4.0,398.0,8.0,14.433333333333334
Cole Smith,L,L,157.0,13.0,27.0,40.0,-1.0,0.25,12.0,35.0,0.0,0.0,1.0,5.0,0.0,5.0,179.0,7.3,13.033333333333333
Colin Blackwell,R,C,155.0,20.0,22.0,42.0,-18.0,0.27,17.0,38.0,1.0,1.0,2.0,3.0,0.0,3.0,218.0,9.2,12.616666666666667
Colin Miller,R,D,163.0,12.0,32.0,44.0,29.0,0.27,11.0,39.0,1.0,5.0,0.0,0.0,0.0,3.0,223.0,5.4,16.983333333333334
Colin White,R,C,120.0,11.0,14.0,25.0,-16.0,0.21,9.0,18.0,2.0,7.0,0.0,0.0,0.0,1.0,127.0,8.7,10.75
Colton Parayko,R,D,241.0,20.0,68.0,88.0,1.0,0.37,19.0,81.0,0.0,4.0,1.0,3.0,1.0,7.0,422.0,4.7,23.483333333333334
Colton Sceviour,R,C,35.0,2.0,3.0,5.0,-6.0,0.14,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,5.3,9.466666666666667
Colton Sissons,R,C,242.0,34.0,59.0,93.0,-8.0,0.38,26.0,75.0,4.0,13.0,4.0,5.0,0.0,3.0,305.0,11.2,16.183333333333334
Colton White,L,D,73.0,0.0,10.0,10.0,-15.0,0.14,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,14.05
Connor Bedard,R,C,68.0,22.0,39.0,61.0,-44.0,0.9,18.0,40.0,4.0,21.0,0.0,0.0,1.0,2.0,206.0,10.7,19.783333333333335
Connor Brown,R,R,139.0,14.0,37.0,51.0,-26.0,0.37,13.0,38.0,0.0,9.0,1.0,4.0,0.0,0.0,231.0,6.1,16.25
Connor Clifton,R,D,217.0,11.0,40.0,51.0,30.0,0.24,10.0,50.0,0.0,0.0,1.0,1.0,0.0,1.0,250.0,4.4,16.883333333333333
Connor Dewar,L,C,190.0,19.0,24.0,43.0,-17.0,0.23,15.0,37.0,0.0,1.0,4.0,5.0,0.0,1.0,208.0,9.1,11.033333333333333
Connor Mackey,L,D,34.0,3.0,5.0,8.0,-4.0,0.24,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,8.3,14.083333333333334
Connor McDavid,L,C,238.0,140.0,268.0,408.0,85.0,1.71,97.0,240.0,38.0,159.0,5.0,9.0,7.0,25.0,929.0,15.1,21.95
Connor McMichael,L,C,154.0,27.0,24.0,51.0,-23.0,0.33,24.0,43.0,2.0,6.0,1.0,2.0,0.0,3.0,242.0,11.2,13.266666666666667
Connor Murphy,R,D,183.0,13.0,18.0,31.0,-43.0,0.17,11.0,29.0,0.0,0.0,2.0,2.0,0.0,1.0,207.0,6.3,20.233333333333334
Connor Zary,L,C,63.0,14.0,20.0,34.0,12.0,0.54,13.0,30.0,1.0,4.0,0.0,0.0,0.0,3.0,90.0,15.6,15.266666666666667
Conor Garland,R,R,240.0,56.0,89.0,145.0,32.0,0.6,52.0,125.0,4.0,20.0,0.0,0.0,1.0,8.0,570.0,9.8,15.333333333333334
Conor Sheary,L,L,210.0,38.0,57.0,95.0,4.0,0.45,32.0,80.0,4.0,13.0,2.0,2.0,0.0,6.0,333.0,11.4,14.333333333333334
Conor Timmins,R,D,58.0,3.0,21.0,24.0,2.0,0.41,3.0,18.0,0.0,6.0,0.0,0.0,0.0,1.0,49.0,6.1,15.766666666666667
Corey Perry,R,R,217.0,43.0,44.0,87.0,-25.0,0.4,28.0,63.0,15.0,24.0,0.0,0.0,0.0,9.0,351.0,12.3,12.75
Corey Schueneman,L,D,31.0,2.0,5.0,7.0,-4.0,0.23,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,38.0,5.3,16.166666666666668
Craig Smith,R,C,213.0,36.0,36.0,72.0,9.0,0.34,36.0,67.0,0.0,5.0,0.0,0.0,0.0,5.0,403.0,8.9,11.916666666666666
Curtis Lazar,R,C,190.0,18.0,28.0,46.0,2.0,0.24,17.0,44.0,0.0,0.0,1.0,2.0,0.0,2.0,224.0,8.0,12.133333333333333
Dakota Joshua,L,C,172.0,32.0,31.0,63.0,9.0,0.37,29.0,60.0,2.0,2.0,1.0,1.0,0.0,9.0,186.0,17.2,12.05
Dakota Mermis,L,D,51.0,3.0,5.0,8.0,-1.0,0.16,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,6.8,14.1
Damon Severson,R,D,228.0,27.0,80.0,107.0,-15.0,0.47,20.0,80.0,6.0,23.0,1.0,4.0,1.0,3.0,348.0,7.8,21.583333333333332
Daniel Sprong,R,R,205.0,53.0,56.0,109.0,8.0,0.53,42.0,81.0,11.0,28.0,0.0,0.0,0.0,4.0,460.0,11.5,12.116666666666667
Daniil Miromanov,R,D,49.0,5.0,9.0,14.0,-8.0,0.29,4.0,9.0,1.0,5.0,0.0,0.0,0.0,0.0,83.0,6.0,17.216666666666665
Danny DeKeyser,L,D,59.0,0.0,11.0,11.0,-8.0,0.19,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,18.5
Dante Fabbro,R,D,201.0,8.0,40.0,48.0,18.0,0.24,8.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,254.0,3.2,17.666666666666668
Danton Heinen,L,L,215.0,43.0,48.0,91.0,17.0,0.42,37.0,83.0,5.0,7.0,1.0,1.0,0.0,5.0,353.0,12.2,12.716666666666667
Darnell Nurse,L,D,234.0,31.0,79.0,110.0,47.0,0.47,25.0,91.0,1.0,12.0,5.0,7.0,2.0,6.0,587.0,5.3,23.416666666666668
Darren Helm,L,C,79.0,7.0,8.0,15.0,-6.0,0.19,6.0,13.0,0.0,0.0,1.0,2.0,0.0,1.0,103.0,6.8,10.333333333333334
Darren Raddysh,R,D,103.0,7.0,29.0,36.0,-6.0,0.35,6.0,29.0,1.0,7.0,0.0,0.0,1.0,2.0,128.0,5.5,18.35
David Gustafsson,L,C,87.0,3.0,10.0,13.0,3.0,0.15,3.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,4.2,9.55
David Jiricek,R,D,47.0,1.0,9.0,10.0,-8.0,0.21,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,2.3,14.9
David Kampf,L,C,242.0,26.0,46.0,72.0,14.0,0.3,24.0,65.0,0.0,0.0,2.0,7.0,0.0,3.0,288.0,9.0,14.7
David Krejci,R,C,70.0,16.0,40.0,56.0,23.0,0.8,12.0,44.0,4.0,12.0,0.0,0.0,0.0,2.0,112.0,14.3,17.2
David Pastrnak,R,R,236.0,148.0,152.0,300.0,68.0,1.27,103.0,202.0,45.0,98.0,0.0,0.0,5.0,27.0,,13.4,19.4
David Perron,R,L,225.0,68.0,92.0,160.0,-11.0,0.71,44.0,95.0,24.0,65.0,0.0,0.0,0.0,9.0,523.0,13.0,16.5
David Savard,R,D,184.0,12.0,49.0,61.0,-37.0,0.33,12.0,59.0,0.0,0.0,0.0,2.0,0.0,1.0,183.0,6.6,21.15
Dawson Mercer,R,C,246.0,64.0,67.0,131.0,-29.0,0.53,54.0,107.0,8.0,20.0,2.0,4.0,1.0,10.0,449.0,14.3,16.766666666666666
Dean Kukan,L,D,41.0,3.0,8.0,11.0,-2.0,0.27,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,7.3,16.3
Declan Chisholm,L,D,33.0,3.0,6.0,9.0,-6.0,0.27,1.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,33.0,9.1,16.316666666666666
Denis Gurianov,L,R,157.0,19.0,31.0,50.0,-3.0,0.32,14.0,40.0,5.0,10.0,0.0,0.0,1.0,2.0,286.0,6.6,13.55
Denis Malgin,R,C,65.0,13.0,8.0,21.0,4.0,0.32,13.0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,112.0,11.6,10.916666666666666
Dennis Gilbert,L,D,57.0,2.0,9.0,11.0,-7.0,0.19,2.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,5.6,12.066666666666666
Derek Forbort,L,D,165.0,9.0,21.0,30.0,22.0,0.18,7.0,27.0,0.0,0.0,2.0,3.0,0.0,3.0,124.0,7.3,17.916666666666668
Derek Grant,L,C,117.0,20.0,27.0,47.0,-20.0,0.4,17.0,41.0,2.0,4.0,1.0,2.0,0.0,1.0,189.0,10.6,14.516666666666667
Derek Ryan,R,C,225.0,28.0,26.0,54.0,4.0,0.24,24.0,47.0,0.0,0.0,4.0,7.0,0.0,2.0,216.0,13.0,10.95
Derek Stepan,R,C,131.0,14.0,16.0,30.0,8.0,0.23,14.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,194.0,7.2,9.833333333333334
Derick Brassard,L,C,108.0,21.0,21.0,42.0,7.0,0.39,15.0,30.0,6.0,12.0,0.0,0.0,0.0,5.0,154.0,13.6,12.483333333333333
Derrick Pouliot,L,D,24.0,0.0,6.0,6.0,4.0,0.25,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,15.283333333333333
Devin Shore,L,C,117.0,7.0,17.0,24.0,5.0,0.21,6.0,23.0,0.0,0.0,1.0,1.0,0.0,0.0,84.0,8.3,9.05
Devon Toews,L,D,228.0,32.0,125.0,157.0,119.0,0.69,29.0,131.0,3.0,24.0,0.0,2.0,1.0,5.0,482.0,6.6,24.583333333333332
Dillon Dube,L,C,204.0,39.0,45.0,84.0,-18.0,0.41,32.0,71.0,4.0,8.0,3.0,5.0,1.0,4.0,336.0,11.6,13.416666666666666
